Year.f;Treat;Gr;Mow;Disturb;Fert;spatial.mean.rich;spatial.sd.rich;Rich.Spatial.stability;spatial.mean.beta;spatial.sd.beta;beta.Spatial.stability;spatial.mean.Live;spatial.sd.Live;Live.Spatial.stability;spatial.mean.BP;spatial.sd.BP;Berger.Spatial.stability
1;ExC;Ex;Unmow;Intact;C;16.83333333;6.210206652;2.710591495;0.441288604;0.077267394;5.711187892;604.4583333;127.3126483;4.747826248;0.460666667;0.305870343;1.506084775
1;ExF;Ex;Unmow;Intact;F;11.5;8.526429499;1.348747445;0.420146713;0.27647998;1.519627978;806.6416667;368.5945475;2.188425391;0.651666667;0.326591284;1.995358416
1;GrC;Gr;Unmow;Grazed;C;27.83333333;2.136976057;13.02463509;0.267039478;0.05339502;5.001205714;394.9;169.0798524;2.335582829;0.187166667;0.039761372;4.707248755
1;GrF;Gr;Unmow;Grazed;F;21.33333333;3.983298466;5.355695416;0.276353872;0.036779844;7.513731462;490.295;119.4302254;4.105284053;0.240166667;0.066502381;3.611399523
2;ExC;Ex;Unmow;Intact;C;12.33333333;2.943920289;4.189425026;0.396025966;0.092660318;4.273954326;797.2333333;256.1171561;3.112768178;0.485;0.268448133;1.806680475
2;ExF;Ex;Unmow;Intact;F;8;5.621387729;1.423136134;0.378058632;0.162289907;2.329526458;950.2666667;289.8184943;3.278833771;0.795666667;0.177566513;4.480949992
2;GrC;Gr;Unmow;Grazed;C;20.66666667;5.125101625;4.032440365;0.313948492;0.067609547;4.643552658;316.3533333;141.6498639;2.233347245;0.192166667;0.050408002;3.812225421
2;GrF;Gr;Unmow;Grazed;F;16.33333333;3.141125064;5.19983541;0.314608289;0.058090233;5.415855211;342.4483333;181.5731583;1.886007472;0.309166667;0.100222586;3.084800345
2;MoC;Ex;Mow;Mowed;C;16.33333333;3.502380143;4.663495299;0.362568738;0.057632686;6.291026158;345.515;79.79747509;4.329898905;0.341833333;0.179316945;1.906308039
2;MoF;Ex;Mow;Mowed;F;11.83333333;3.188521078;3.711229452;0.33440267;0.070566074;4.738858913;523.935;179.6820716;2.915900263;0.481666667;0.200782137;2.398951785
3;ExC;Ex;Unmow;Intact;C;14.66666667;7.814516406;1.876848919;0.404299575;0.063537295;6.363185167;720.3916667;294.7705013;2.443906916;0.5395;0.270595455;1.993751155
3;ExF;Ex;Unmow;Intact;F;6.833333333;2.994439291;2.282007638;0.345881062;0.131686745;2.626544231;983.35;320.3082968;3.070011017;0.847333333;0.150452207;5.631910284
3;GrC;Gr;Unmow;Grazed;C;26.16666667;3.430257522;7.628193073;0.22151661;0.032219441;6.875246861;427.5316667;152.8919906;2.796298649;0.2525;0.052739928;4.787644008
3;GrF;Gr;Unmow;Grazed;F;18.5;4.969909456;3.722401819;0.286520944;0.020064692;14.2798574;383.07;109.1572369;3.509341304;0.328;0.072910905;4.498641213
3;MoC;Ex;Mow;Mowed;C;18;4.427188724;4.065785563;0.320394134;0.091805895;3.489908069;323.6066667;26.38427385;12.26513447;0.415;0.191251667;2.169915731
3;MoF;Ex;Mow;Mowed;F;11.66666667;4.546060566;2.566324513;0.294079149;0.064257737;4.576556295;560.4233333;162.0056942;3.459281701;0.519166667;0.209167317;2.482063991
4;ExC;Ex;Unmow;Intact;C;10.33333333;7.312090444;1.413184562;0.264553185;0.113914597;2.322381784;911.0416667;386.9792519;2.354239051;0.673333333;0.274014355;2.457292187
4;ExF;Ex;Unmow;Intact;F;3.666666667;1.366260102;2.683725201;0.243532967;0.08378012;2.906810928;1102.475;291.2710143;3.78504879;0.950666667;0.034039193;27.92858996
4;GrC;Gr;Unmow;Grazed;C;25;4.289522118;5.828155052;0.213900771;0.042489493;5.034203902;484.5666667;116.540099;4.157939379;0.384333333;0.107723102;3.56778933
4;GrF;Gr;Unmow;Grazed;F;15.83333333;4.956477244;3.194473122;0.281062785;0.079133932;3.551735375;305.225;229.724837;1.328654768;0.3545;0.167417741;2.117457791
4;MoC;Ex;Mow;Mowed;C;20.66666667;5.465040409;3.781612783;0.258619395;0.053314065;4.850866195;291.8833333;55.62447902;5.24738997;0.344833333;0.077049119;4.475500043
4;MoF;Ex;Mow;Mowed;F;10.66666667;3.444802849;3.096451999;0.2986362;0.03660397;8.158574006;548.725;126.587218;4.33475835;0.536166667;0.230444281;2.326665102
5;ExC;Ex;Unmow;Intact;C;9;4.898979486;1.837117307;0.220520457;0.102082548;2.160217026;480.2083333;146.8499589;3.270061068;0.820333333;0.18323937;4.476839961
5;ExF;Ex;Unmow;Intact;F;5.166666667;2.228601953;2.318344314;0.259226558;0.047994377;5.401186063;677.0166667;222.3882229;3.044300898;0.966666667;0.020392809;47.40232979
5;GrC;Gr;Unmow;Grazed;C;25.5;5.61248608;4.543441113;0.203105852;0.023568584;8.617651994;291.6766667;62.28853752;4.682670011;0.269166667;0.037397415;7.197467123
5;GrF;Gr;Unmow;Grazed;F;22.5;5.576737397;4.034617088;0.22581567;0.03470008;6.507641139;183.4966667;136.408667;1.345198005;0.307833333;0.055333233;5.563263107
5;MoC;Ex;Mow;Mowed;C;23.66666667;9.157874571;2.584296878;0.239355165;0.021646562;11.05742168;105.0083333;37.87947223;2.772169915;0.351666667;0.201763888;1.742961386
5;MoF;Ex;Mow;Mowed;F;10;2.366431913;4.225771274;0.234190078;0.074898968;3.126746401;166.6833333;67.33783978;2.475329382;0.6235;0.160510124;3.88449017
6;ExC;Ex;Unmow;Intact;C;5.333333333;2.503331114;2.130494565;0.27825111;0.137919598;2.017487829;534.02;131.825522;4.050960633;0.9135;0.079218053;11.53146233
6;ExF;Ex;Unmow;Intact;F;3.5;2.880972058;1.214867735;0.193103712;0.182554633;1.057785877;741.23;238.9750029;3.101705162;0.967166667;0.044051863;21.95518175
6;GrC;Gr;Unmow;Grazed;C;28.33333333;4.676180778;6.059075703;0.21331964;0.02635826;8.093085052;309.1166667;101.943777;3.032226937;0.310333333;0.099769067;3.110516552
6;GrF;Gr;Unmow;Grazed;F;24.33333333;6.623191577;3.673958854;0.20966921;0.058728337;3.570154061;357.8733333;153.0636046;2.33806942;0.330833333;0.119656871;2.764850291
6;MoC;Ex;Mow;Mowed;C;22.83333333;5.382068995;4.242482464;0.243799511;0.042124346;5.787615268;355.22;72.17860313;4.921403083;0.303166667;0.060687451;4.995541309
6;MoF;Ex;Mow;Mowed;F;13;2.828427125;4.596194078;0.275587926;0.074989668;3.675011944;509.65;213.6602502;2.385329043;0.5785;0.094366837;6.130331544
7;ExC;Ex;Unmow;Intact;C;3.2;1.643167673;1.947457982;0.282280958;0.099698763;2.83133861;356.09;68.15373614;5.224805274;0.9854;0.014673105;67.1568849
7;ExF;Ex;Unmow;Intact;F;1.6;0.894427191;1.788854382;0.148934047;0.088688672;1.679290531;452.14;249.6537337;1.811068448;0.9934;0.009581232;103.6818685
7;GrC;Gr;Unmow;Grazed;C;23;4.38178046;5.249007843;0.247274546;0.027273223;9.066568413;224.53;52.63612828;4.265701284;0.332666667;0.108084535;3.077837798
7;GrF;Gr;Unmow;Grazed;F;22.33333333;7.229568913;3.089165288;0.260016319;0.061226833;4.246770681;157.89;92.10404036;1.714257044;0.380333333;0.153991775;2.469828886
7;MoC;Ex;Mow;Mowed;C;21.6;4.335896678;4.981668523;0.198226024;0.036672854;5.405252146;195.73;72.21907297;2.710225872;0.2898;0.062663386;4.624710161
7;MoF;Ex;Mow;Mowed;F;8.2;3.193743885;2.567519593;0.196476587;0.047330479;4.151164121;212.83;127.981315;1.66297713;0.659;0.085498538;7.707734137
8;ExC;Ex;Unmow;Intact;C;4.2;2.28035085;1.841821841;0.276871079;0.104516005;2.649078266;475.25;153.5167092;3.095754218;0.9436;0.074788368;12.61693528
8;ExF;Ex;Unmow;Intact;F;2;1.414213562;1.414213562;0.115126229;0.070257709;1.638627713;1049.95;371.7808393;2.824110037;0.9904;0.013315405;74.38001539
8;GrC;Gr;Unmow;Grazed;C;27;5.656854249;4.772970773;0.261101775;0.049921993;5.230195329;295.4916667;85.16723206;3.469546438;0.312333333;0.086830102;3.597062828
8;GrF;Gr;Unmow;Grazed;F;24;10.09950494;2.376354103;0.251403384;0.053277695;4.718736133;93.89166667;46.29099714;2.028292162;0.408333333;0.219927867;1.856669366
8;MoC;Ex;Mow;Mowed;C;23.6;2.073644135;11.3809306;0.217774813;0.025135675;8.663973195;228.05;33.58948868;6.789326332;0.267;0.066102194;4.039200296
8;MoF;Ex;Mow;Mowed;F;8.4;3.209361307;2.617343202;0.156052289;0.052545008;2.969878492;290.86;104.7832191;2.775826154;0.699;0.095477746;7.321077723
9;ExC;Ex;Unmow;Intact;C;3;1.414213562;2.121320344;0.33678923;0.09636149;3.495060434;353.4;66.91169554;5.281587877;0.9738;0.029777508;32.70253476
9;ExF;Ex;Unmow;Intact;F;2;0.707106781;2.828427125;0.15617023;0.064914121;2.405797484;504.5;113.0834869;4.46130566;0.9942;0.005449771;182.4296959
9;GrC;Gr;Unmow;Grazed;C;23.6;6.387487769;3.694723317;0.308278877;0.039987372;7.709405851;378.938;101.2660146;3.742005661;0.317;0.066970143;4.733452665
9;GrF;Gr;Unmow;Grazed;F;23.4;11.37101579;2.057863646;0.262431204;0.04807403;5.458897513;156.194;50.97604957;3.064066386;0.4074;0.196073456;2.077792727
9;MoC;Ex;Mow;Mowed;C;21.8;4.324349662;5.041220462;0.251272007;0.030533793;8.229308694;207.87;50.01889143;4.155829809;0.2474;0.080782424;3.062547374
9;MoF;Ex;Mow;Mowed;F;9.8;1.788854382;5.478366545;0.249458333;0.060042601;4.154688956;288.2;66.31821959;4.345713769;0.658;0.107974534;6.09402954
10;ExC;Ex;Unmow;Intact;C;1.4;0.547722558;2.556038602;0.336278923;0.145218884;2.315669386;190.3;46.17439767;4.121331509;0.9934;0.009370165;106.0173386
10;ExF;Ex;Unmow;Intact;F;1.2;0.447213595;2.683281573;0.153395529;0.092930258;1.650652127;325.9;155.8378163;2.091276737;0.9972;0.00626099;159.2719277
10;GrC;Gr;Unmow;Grazed;C;16;6.244997998;2.562050461;0.465392423;0.06969499;6.677559268;71.91;5.984396377;12.0162495;0.3642;0.086320334;4.219168122
10;GrF;Gr;Unmow;Grazed;F;18.8;4.969909456;3.782765092;0.379950584;0.035480832;10.7086155;14.04;2.042180208;6.875005422;0.4192;0.067850571;6.178282557
10;MoC;Ex;Mow;Mowed;C;15.4;5.683308895;2.709689071;0.357176241;0.044456472;8.034291161;53.73;15.69209992;3.424015923;0.3382;0.054774081;6.174453153
10;MoF;Ex;Mow;Mowed;F;6.6;1.341640786;4.91934955;0.311419916;0.07067101;4.406614753;97.95;95.35796375;1.027182169;0.7836;0.122410375;6.401418161
