Block;Treat;Gr;Mow;Disturb;Fert;temp.mean.rich;temp.sd.rich;Rich.Temp.stability;temp.mean.beta;temp.sd.beta;beta.Temp.stability;temp.mean.Live;temp.sd.Live;Live.Temp.stability;temp.mean.BP;temp.sd.BP;Berger.Temp.stability
1;ExC;Ex;Unmow;Intact;C;4.7;2.240731001;2.097529778;0.244472855;0.076395725;3.200085536;6.269038202;0.455734377;13.7559037;0.8973;0.106383766;8.43455756
1;ExF;Ex;Unmow;Intact;F;4.8;3.125005051;1.535997518;0.162238163;0.07834847;2.070725354;6.660107466;0.517545431;12.86864316;0.9125;0.127703123;7.145479146
1;GrC;Gr;Unmow;Grazed;C;25;5.041911882;4.958436519;0.249261529;0.034163707;7.296091403;5.547129191;0.470833404;11.78151157;0.3424;0.058997164;5.803668834
1;GrF;Gr;Unmow;Grazed;F;18.6;3.099690437;6.000599213;0.249283686;0.039975978;6.235837033;5.315534985;0.773256775;6.874217148;0.4247;0.099534391;4.266866925
1;MoC;Ex;Mow;Mowed;C;17.22222222;2.392842336;7.197391138;0.289747709;0.044983858;6.441148486;5.285644452;0.490235049;10.78185753;0.292111111;0.052166347;5.599608309
1;MoF;Ex;Mow;Mowed;F;10.88888889;2.570802944;4.23559842;0.369519528;0.051909591;7.1185213;6.026215523;0.240600153;25.04659884;0.589444444;0.036748139;16.04011703
2;ExC;Ex;Unmow;Intact;C;3.5;1.780553389;1.965681019;0.322578811;0.073225361;4.405288112;6.186642539;0.419364964;14.75240677;0.9523;0.041829234;22.76637414
2;ExF;Ex;Unmow;Intact;F;2;0.634581439;3.151683735;0.160278561;0.062352157;2.570537537;6.323359355;0.571177363;11.07074574;0.9857;0.010359595;95.14850568
2;GrC;Gr;Unmow;Grazed;C;26.9;4.16317025;6.461422037;0.24625593;0.015407947;15.98239722;5.445378212;0.56343301;9.664641794;0.2939;0.070134474;4.190521197
2;GrF;Gr;Unmow;Grazed;F;18.7;2.670956146;7.001238125;0.260839185;0.047499232;5.491440056;5.404676288;0.774686312;6.976599697;0.4343;0.13950075;3.11324491
2;MoC;Ex;Mow;Mowed;C;18.88888889;2.168588891;8.71022118;0.371304603;0.050592383;7.339140417;5.102683675;0.737086986;6.922769999;0.462666667;0.118274222;3.911813222
2;MoF;Ex;Mow;Mowed;F;7.444444444;2.485094454;2.995638429;0.374140876;0.057467724;6.510452299;5.553505435;0.660748441;8.404871032;0.793444444;0.038385228;20.67056769
3;ExC;Ex;Unmow;Intact;C;10.9;3.693109427;2.951442468;0.333847741;0.067494523;4.946293834;6.127014348;0.360619204;16.99026088;0.6044;0.115030214;5.25427171
3;ExF;Ex;Unmow;Intact;F;2.6;1.25636427;2.069463501;0.163016747;0.09332516;1.746760966;6.544228103;0.431845179;15.15410711;0.9624;0.041361411;23.26806494
3;GrC;Gr;Unmow;Grazed;C;28.8;3.267635395;8.813712827;0.25468307;0.046032576;5.532670351;5.579458636;0.324554686;17.19112024;0.2064;0.047053118;4.386531788
3;GrF;Gr;Unmow;Grazed;F;30.2;4.778318034;6.320215563;0.33257661;0.031331403;10.61480109;4.527446906;0.468640894;9.660802049;0.2437;0.062223698;3.916514272
3;MoC;Ex;Mow;Mowed;C;19.11111111;4.603516168;4.151416094;0.287228502;0.027168821;10.57198991;5.236896977;0.510533813;10.2576888;0.360555556;0.039510371;9.125592679
3;MoF;Ex;Mow;Mowed;F;9.666666667;2.597675243;3.72127605;0.223647343;0.073229273;3.05407023;5.586878356;0.527379478;10.593659;0.562333333;0.044161423;12.73358736
4;ExC;Ex;Unmow;Intact;C;14.83333333;3.069356998;4.832716866;0.285141516;0.03325439;8.574552719;6.53696599;0.129762064;50.37655684;0.530666667;0.049877259;10.6394513
4;ExF;Ex;Unmow;Intact;F;7.166666667;3.076794869;2.329263721;0.274281123;0.116670693;2.350899927;6.728363316;0.446498074;15.06918778;0.889166667;0.062339837;14.26321777
4;GrC;Gr;Unmow;Grazed;C;25.625;4.383992217;5.845128991;0.239089308;0.025600926;9.339088204;5.62376355;0.33476478;16.79914937;0.27;0.049283851;5.478467999
4;GrF;Gr;Unmow;Grazed;F;23.625;4.400255095;5.369006908;0.273966896;0.024261473;11.29226165;5.288840797;0.499692185;10.58419755;0.248875;0.056016412;4.442894328
4;MoC;Ex;Mow;Mowed;C;23.4;8.017169076;2.918736;0.366875517;0.04456842;8.231737149;5.51032345;0.362673134;15.19363564;0.2292;0.046617593;4.916598735
4;MoF;Ex;Mow;Mowed;F;12.8;1.036822068;12.34541625;0.31088309;0.058744047;5.292163295;5.879174475;0.481087387;12.22059573;0.4314;0.081533429;5.291081299
5;ExC;Ex;Unmow;Intact;C;8.5;2.064286671;4.11764515;0.247042926;0.058615693;4.214620943;6.161914756;0.398369711;15.46782948;0.7995;0.126270588;6.331640769
5;ExF;Ex;Unmow;Intact;F;5.1;1.498371731;3.403694753;0.310075274;0.051731482;5.993937533;6.441535069;0.511113484;12.60294489;0.893;0.108209928;8.252477524
5;GrC;Gr;Unmow;Grazed;C;18.6;2.911488911;6.388483889;0.354068688;0.035242338;10.04668549;5.853089918;0.424716148;13.78118055;0.339;0.081502606;4.159376216
5;GrF;Gr;Unmow;Grazed;F;14.1;2.677754726;5.265605496;0.356024518;0.053764808;6.621887645;5.481801117;0.661497202;8.286960401;0.3988;0.040185781;9.923908237
5;MoC;Ex;Mow;Mowed;C;19.55555556;4.091997611;4.778975312;0.231861173;0.048327041;4.797752323;5.359081954;0.615586437;8.705653071;0.304666667;0.046858742;6.501810678
5;MoF;Ex;Mow;Mowed;F;9.111111111;3.425800799;2.659556596;0.301867052;0.058430362;5.166270447;5.180220382;1.007398013;5.142178478;0.669555556;0.10405805;6.434442653
6;ExC;Ex;Unmow;Intact;C;10.5;3.368701255;3.116928218;0.298079459;0.066096238;4.509779511;6.089415466;0.265946382;22.89715477;0.7116;0.145539387;4.889398089
6;ExF;Ex;Unmow;Intact;F;7.8;3.353072866;2.326224425;0.237906018;0.077187;3.082203194;6.556427011;0.27667281;23.69740273;0.808;0.160753826;5.026318936
6;GrC;Gr;Unmow;Grazed;C;22.1;4.209657008;5.249833884;0.306381503;0.054618859;5.609445329;5.830225347;0.518109311;11.25288665;0.2873;0.099626427;2.883773003
6;GrF;Gr;Unmow;Grazed;F;19.7;4.912157665;4.010457592;0.292897893;0.053146128;5.511180252;4.904817885;0.713956893;6.8699076;0.3082;0.085012916;3.625331455
6;MoC;Ex;Mow;Mowed;C;25.66666667;5.30015723;4.842623634;0.289572212;0.049054015;5.903129735;5.423735532;0.488714492;11.09796338;0.258333333;0.062151026;4.156541751
6;MoF;Ex;Mow;Mowed;F;12.22222222;1.869343319;6.538243723;0.288293631;0.061913982;4.65635743;5.752346604;0.66856961;8.603960636;0.526888889;0.069131959;7.621495113
